accx,accy,accz,dpsx,dpsy,dpsz,roll,pitch,rpm,vel,temp_motor,soc,temp_cvt,volt,current,flags,latitude,longitude,timestamp
-2.29,1.02,0.28,0.43,-1.78,1.07,-2.71,2.28,4667.02,59.38,92.43,43.11,92.26,11.22,382.91,0.8,-8.059821,-34.900356,2025-07-12T18:50:52.974185
-0.2,2.31,1.08,-0.56,0.54,-2.69,0.88,-2.63,3913.88,46.35,82.0,31.42,90.75,12.59,309.96,0.9,-8.06081,-34.900269,2025-07-12T18:50:53.474185
-0.83,2.28,2.65,-2.86,2.37,0.24,-2.66,0.39,4954.12,34.77,107.18,29.06,53.96,12.15,361.4,0.29,-8.060205,-34.899494,2025-07-12T18:50:53.974185
-0.72,1.95,0.07,-0.15,1.81,-0.05,-2.22,1.75,2173.74,27.93,105.34,71.3,81.78,12.47,263.63,0.07,-8.059988,-34.90027,2025-07-12T18:50:54.474185
1.71,-2.59,0.71,-2.79,-1.98,2.37,0.24,-0.33,5628.36,29.42,105.64,6.81,69.54,11.74,129.43,0.79,-8.05913,-34.900518,2025-07-12T18:50:54.974185
-0.2,-0.86,-1.62,1.14,1.1,2.57,1.73,-2.44,2707.05,23.3,92.02,26.08,50.19,11.82,355.04,0.5,-8.059018,-34.899009,2025-07-12T18:50:55.474185
-1.8,-2.62,-0.33,-1.55,1.81,1.38,-0.71,0.69,4936.43,49.28,83.68,47.19,74.82,10.56,340.93,0.58,-8.059151,-34.899127,2025-07-12T18:50:55.974185
-2.02,1.24,-2.98,2.19,-0.64,-2.77,1.62,-2.07,532.4,19.91,61.34,4.42,73.24,12.63,230.61,0.58,-8.060898,-34.899931,2025-07-12T18:50:56.474185
1.3,-0.05,0.21,2.03,-2.99,-0.27,-1.85,-0.6,2059.68,41.67,64.9,70.41,95.27,12.6,229.96,0.01,-8.060318,-34.899279,2025-07-12T18:50:56.974185
-2.32,1.9,2.64,0.22,-1.32,2.54,1.01,0.09,2838.04,54.42,103.2,98.5,54.1,12.65,136.68,0.69,-8.060803,-34.899286,2025-07-12T18:50:57.474185
-0.31,-1.81,-0.53,1.72,2.42,-2.96,1.51,-0.77,2454.72,51.36,108.84,16.87,99.56,12.35,200.23,0.67,-8.05948,-34.900574,2025-07-12T18:50:57.974185
2.82,-0.21,-1.72,-2.41,-0.12,-1.35,0.07,-0.17,4429.9,58.25,85.65,1.3,90.67,11.13,300.23,0.37,-8.060163,-34.900791,2025-07-12T18:50:58.474185
2.72,-2.72,2.39,-0.94,-1.16,2.35,1.37,-1.2,6761.64,16.29,95.2,63.12,50.2,12.34,400.41,0.74,-8.059423,-34.90035,2025-07-12T18:50:58.974185
-2.84,1.4,-2.65,0.99,2.61,2.82,-0.38,0.7,7893.67,26.6,63.8,28.42,95.24,11.86,468.0,0.19,-8.059737,-34.899426,2025-07-12T18:50:59.474185
2.86,-2.59,0.61,-2.26,0.68,0.39,-0.99,1.83,1214.25,17.08,92.31,6.29,88.05,10.95,178.5,0.93,-8.060627,-34.899201,2025-07-12T18:50:59.974185
-2.63,-2.46,0.76,1.99,-1.54,1.58,-2.75,-2.58,7069.59,37.04,70.45,87.35,75.99,12.59,493.44,0.37,-8.060344,-34.900497,2025-07-12T18:51:00.474185
-2.71,-0.93,1.22,-0.85,1.78,2.76,-1.21,1.4,3911.36,34.15,97.4,39.97,89.53,12.86,199.06,0.47,-8.060699,-34.899003,2025-07-12T18:51:00.974185
0.62,-1.74,2.11,2.83,2.02,2.93,-1.77,1.59,7472.71,16.63,69.51,10.46,50.28,11.62,118.09,0.09,-8.060669,-34.89979,2025-07-12T18:51:01.474185
-1.61,0.44,0.51,1.19,-0.56,-1.87,2.75,-2.04,2954.93,10.92,83.22,28.34,66.33,12.82,125.06,0.18,-8.059201,-34.900783,2025-07-12T18:51:01.974185
0.83,-2.22,1.7,-2.89,0.19,2.77,0.5,2.84,2795.07,45.3,104.62,57.89,75.78,11.09,134.61,0.94,-8.059856,-34.900157,2025-07-12T18:51:02.474185
-0.98,2.78,1.86,0.39,-0.58,2.34,2.16,0.8,4343.08,2.01,96.92,6.91,74.51,11.96,138.57,0.39,-8.060362,-34.900269,2025-07-12T18:51:02.974185
2.42,0.73,-0.71,-0.04,-2.33,0.54,-2.05,0.95,4751.83,2.01,104.39,78.36,55.9,11.85,148.74,0.36,-8.060259,-34.900505,2025-07-12T18:51:03.474185
0.24,3.0,1.45,-0.78,1.59,-0.77,-2.26,2.15,4902.76,24.64,61.01,83.83,63.66,12.43,441.07,0.44,-8.059431,-34.900859,2025-07-12T18:51:03.974185
-2.84,2.3,0.88,2.53,1.92,-1.01,0.58,-1.76,2242.75,13.57,96.04,21.95,73.73,12.64,221.1,0.66,-8.060326,-34.900875,2025-07-12T18:51:04.474185
1.13,-0.81,-1.99,2.66,-2.67,-2.8,1.93,-2.15,2992.44,42.54,97.36,20.14,93.5,11.71,169.5,0.59,-8.060022,-34.899896,2025-07-12T18:51:04.974185
2.57,0.83,-2.17,1.97,-2.1,2.0,-0.63,-1.84,620.33,4.87,106.81,86.89,74.23,12.9,152.04,0.56,-8.059219,-34.899994,2025-07-12T18:51:05.474185
2.36,-0.99,-0.78,-1.19,0.14,1.73,-2.22,1.34,160.91,37.37,62.45,70.07,94.18,12.12,130.0,0.14,-8.060548,-34.899839,2025-07-12T18:51:05.974185
2.16,-0.71,1.64,1.75,2.49,-0.88,2.23,2.04,4428.55,20.88,83.63,29.54,74.67,12.82,175.5,0.93,-8.060405,-34.899199,2025-07-12T18:51:06.474185
-2.91,-1.35,2.49,-0.33,0.88,1.22,-2.05,-1.76,4124.52,34.57,98.77,49.93,79.67,12.38,376.01,0.88,-8.059034,-34.899639,2025-07-12T18:51:06.974185
0.63,-2.35,2.62,-2.92,-2.9,-2.49,-1.71,-1.47,7848.99,30.96,97.48,60.12,67.9,11.58,391.14,0.65,-8.05902,-34.899116,2025-07-12T18:51:07.474185
2.34,0.15,-0.63,-1.47,2.51,0.08,-0.59,2.72,7191.99,26.45,102.93,1.1,85.58,11.62,476.28,0.24,-8.059474,-34.899682,2025-07-12T18:51:07.974185
-1.0,-1.41,2.75,-1.02,1.95,-1.82,-0.18,1.06,2551.31,41.1,74.12,49.78,55.49,12.39,346.01,0.87,-8.060933,-34.899919,2025-07-12T18:51:08.474185
-0.51,-1.82,-0.9,1.74,1.68,-2.08,2.8,-1.82,6637.0,56.69,67.4,4.14,67.77,12.09,476.96,0.68,-8.059704,-34.900425,2025-07-12T18:51:08.974185
0.87,2.78,0.75,0.08,0.33,-2.07,2.34,-0.7,3105.37,20.22,76.19,8.87,80.94,12.98,220.83,0.29,-8.059515,-34.900221,2025-07-12T18:51:09.474185
-0.14,0.97,-0.32,-0.45,-1.45,2.83,1.57,0.64,6719.41,27.47,72.11,63.84,71.87,11.71,405.44,0.4,-8.060871,-34.900179,2025-07-12T18:51:09.974185
2.32,1.19,1.03,-0.65,1.67,-2.81,0.43,2.13,3781.41,4.31,81.52,67.29,69.12,12.02,189.93,0.43,-8.060871,-34.89938,2025-07-12T18:51:10.474185
-1.86,0.46,0.92,1.36,-1.49,1.71,-1.6,-0.98,7744.96,10.95,89.34,84.11,82.83,11.37,484.75,0.1,-8.060802,-34.90006,2025-07-12T18:51:10.974185
-0.38,0.45,-0.98,0.49,-2.55,2.92,1.94,-1.48,342.32,56.33,86.6,4.34,56.78,10.93,352.01,0.68,-8.059059,-34.900846,2025-07-12T18:51:11.474185
1.42,0.23,-1.46,2.51,1.55,-2.87,-1.66,-0.57,7650.05,7.21,99.1,47.75,62.84,11.04,498.74,0.79,-8.060617,-34.899594,2025-07-12T18:51:11.974185
-2.87,1.6,-1.22,2.13,-1.62,-0.41,0.48,-0.66,7173.5,48.67,83.75,12.5,57.25,12.88,237.3,0.84,-8.060484,-34.900071,2025-07-12T18:51:12.474185
-0.43,-1.57,-2.76,0.55,0.07,-0.57,-1.24,-0.57,515.75,33.03,104.66,74.55,96.49,12.91,251.13,0.67,-8.060911,-34.899357,2025-07-12T18:51:12.974185
-1.03,-1.87,-2.62,-1.68,2.43,-2.87,2.82,-2.23,7065.15,56.44,85.8,55.29,75.12,12.95,315.99,0.79,-8.059269,-34.900296,2025-07-12T18:51:13.474185
-0.16,-0.76,0.32,-0.77,-0.43,0.92,-0.27,-1.2,6327.15,52.89,102.73,64.35,55.47,13.0,341.94,0.77,-8.059996,-34.899871,2025-07-12T18:51:13.974185
1.84,2.02,-0.57,-1.76,-2.3,0.66,-1.62,-2.08,4496.04,3.33,79.13,21.39,58.52,11.63,150.89,0.08,-8.060256,-34.900888,2025-07-12T18:51:14.474185
0.82,0.72,-2.73,-2.76,-0.39,1.53,-2.97,1.23,4307.44,21.83,94.31,97.87,53.47,11.57,495.98,0.98,-8.060771,-34.900247,2025-07-12T18:51:14.974185
-2.16,-0.04,-1.39,1.33,-1.65,2.71,-2.53,0.05,5365.38,13.21,98.08,85.55,52.07,12.47,247.63,0.69,-8.060597,-34.899271,2025-07-12T18:51:15.474185
2.32,0.31,-1.96,0.32,0.32,1.49,0.01,0.58,2456.52,50.23,108.86,82.99,77.48,11.5,481.91,0.75,-8.060353,-34.900467,2025-07-12T18:51:15.974185
-0.75,-0.84,2.72,-0.73,-1.2,0.89,-1.97,-0.97,2607.85,50.96,99.32,6.59,74.66,11.99,463.38,0.18,-8.060278,-34.899519,2025-07-12T18:51:16.474185
1.3,0.55,0.85,-0.51,-0.15,0.69,2.28,1.75,2496.27,26.08,93.41,34.7,74.34,12.92,151.98,0.79,-8.059427,-34.899031,2025-07-12T18:51:16.974185
-1.54,-2.59,-1.84,1.75,1.98,-2.97,1.05,0.54,3741.97,13.24,95.5,22.72,53.13,10.93,455.69,0.02,-8.059023,-34.899476,2025-07-12T18:51:17.474185
-1.89,-0.71,-2.06,-2.64,-2.36,1.68,1.6,-2.78,23.59,50.79,61.95,84.03,80.5,10.97,490.61,0.31,-8.059964,-34.899729,2025-07-12T18:51:17.974185
-1.28,0.25,1.74,1.94,2.01,2.08,-0.29,2.65,1548.82,0.16,81.94,14.3,68.71,11.64,271.47,0.84,-8.059478,-34.899432,2025-07-12T18:51:18.474185
1.15,1.34,-1.7,0.4,-2.98,-2.43,-1.65,0.2,7191.05,4.33,68.98,10.02,80.65,11.62,181.59,0.59,-8.060734,-34.900773,2025-07-12T18:51:18.974185
2.65,-1.47,-0.49,-1.82,-0.83,1.08,-1.73,2.67,792.44,3.05,71.54,14.73,93.13,11.05,191.61,0.42,-8.060611,-34.899147,2025-07-12T18:51:19.474185
1.22,-1.42,-1.04,-1.34,-1.65,1.71,0.42,-2.06,5138.3,4.3,90.64,81.77,80.53,11.52,130.79,0.26,-8.059811,-34.899204,2025-07-12T18:51:19.974185
-1.51,-2.25,1.48,-0.3,0.18,-1.65,0.24,2.97,3253.85,43.35,63.25,12.16,64.55,12.09,257.83,0.47,-8.059312,-34.899731,2025-07-12T18:51:20.474185
0.71,0.8,0.03,0.07,2.45,-2.05,-0.87,1.25,3549.46,1.19,96.44,94.05,53.0,12.31,408.57,0.98,-8.059748,-34.899326,2025-07-12T18:51:20.974185
-1.83,-0.31,1.29,2.9,0.71,-0.13,0.29,2.86,6421.34,5.39,89.64,16.16,74.17,12.82,269.21,0.4,-8.059455,-34.899826,2025-07-12T18:51:21.474185
-1.69,1.14,-1.41,1.67,2.56,1.52,2.92,0.96,4131.56,57.21,71.69,21.01,80.3,12.01,409.56,0.91,-8.05908,-34.90051,2025-07-12T18:51:21.974185
2.85,2.44,1.95,0.05,-1.74,-2.1,0.62,-0.25,3522.35,10.07,86.04,12.38,98.16,10.6,257.42,0.36,-8.060134,-34.900733,2025-07-12T18:51:22.474185
-0.78,2.7,-0.91,1.24,-1.23,-0.65,0.96,-0.19,6902.78,17.59,74.25,15.39,51.6,12.13,370.44,0.97,-8.060024,-34.899574,2025-07-12T18:51:22.974185
2.6,-1.33,-2.79,-1.13,-1.31,-1.73,-2.69,-0.05,4548.48,40.02,83.29,57.33,71.51,10.95,497.57,0.39,-8.059898,-34.900458,2025-07-12T18:51:23.474185
2.57,-2.75,-2.96,-1.71,2.41,-0.38,0.76,1.0,3613.05,49.17,103.48,5.9,51.42,12.81,160.32,0.73,-8.060112,-34.899164,2025-07-12T18:51:23.974185
-1.63,-2.94,2.55,-2.79,2.91,2.96,-1.61,0.83,1660.89,5.39,88.86,89.5,91.45,12.93,201.39,0.59,-8.059773,-34.900051,2025-07-12T18:51:24.474185
-0.53,-0.35,-0.73,2.52,0.48,0.68,-2.86,-1.65,4140.51,45.79,105.55,85.56,71.5,12.61,371.23,0.52,-8.060008,-34.899449,2025-07-12T18:51:24.974185
2.49,-0.66,-1.48,0.96,0.9,-1.4,-0.15,-2.37,2366.82,33.88,90.94,38.66,92.31,12.83,281.64,0.36,-8.059159,-34.900126,2025-07-12T18:51:25.474185
1.0,1.72,1.97,1.56,0.19,-2.37,-0.95,0.45,7002.87,27.21,90.02,72.07,93.44,12.77,282.8,0.43,-8.059947,-34.900995,2025-07-12T18:51:25.974185
2.31,1.96,1.16,-2.41,2.74,2.1,1.72,-0.32,6805.84,24.02,91.24,79.84,75.36,10.77,296.5,0.45,-8.060277,-34.899457,2025-07-12T18:51:26.474185
-0.95,-1.88,-0.98,-1.2,-2.21,-1.64,-2.99,0.8,3562.93,56.87,77.44,70.04,98.3,12.52,347.21,0.64,-8.059938,-34.900424,2025-07-12T18:51:26.974185
-2.2,0.35,-0.69,-2.44,-2.95,2.01,2.45,0.53,2828.79,15.57,72.16,34.83,57.86,12.98,169.42,0.78,-8.059733,-34.900459,2025-07-12T18:51:27.474185
0.15,-0.38,-0.98,1.02,0.17,0.1,-1.92,-2.52,4414.37,9.15,83.61,91.5,93.78,10.62,411.93,0.06,-8.060834,-34.899646,2025-07-12T18:51:27.974185
-0.77,0.68,-1.44,-1.7,-1.56,-1.47,-2.53,-2.79,837.22,38.36,109.74,77.0,64.94,10.6,125.59,0.51,-8.059761,-34.900856,2025-07-12T18:51:28.474185
-0.65,2.02,-0.87,2.86,1.22,-0.37,0.02,-1.42,1201.97,20.17,75.62,11.1,60.98,11.62,479.62,0.52,-8.060297,-34.899762,2025-07-12T18:51:28.974185
1.24,1.59,0.41,-1.68,-0.96,-0.51,0.98,2.14,2861.02,45.93,61.59,83.24,90.99,11.65,362.8,0.1,-8.059111,-34.900004,2025-07-12T18:51:29.474185
0.77,-1.76,-0.26,-1.2,-1.68,0.07,0.78,1.39,3608.75,1.2,88.67,92.98,50.8,12.79,295.33,0.34,-8.059693,-34.900673,2025-07-12T18:51:29.974185
0.91,0.22,-2.14,0.85,1.32,2.21,1.75,1.67,4834.53,24.37,91.27,29.04,63.49,11.85,199.1,1.0,-8.059906,-34.899108,2025-07-12T18:51:30.474185
0.27,-2.22,2.98,-2.66,-0.27,2.9,2.55,-0.79,1514.27,19.05,61.72,39.07,53.67,11.07,134.79,0.73,-8.059562,-34.900558,2025-07-12T18:51:30.974185
0.35,2.21,1.1,2.26,-1.89,2.68,-1.94,1.0,5905.81,59.15,108.39,33.34,63.51,10.9,427.39,0.74,-8.060619,-34.900654,2025-07-12T18:51:31.474185
-2.41,-0.24,-2.59,1.24,0.64,-1.85,1.41,2.19,5969.11,5.62,109.18,72.58,55.15,11.01,316.36,0.3,-8.059178,-34.899253,2025-07-12T18:51:31.974185
0.63,-2.35,-1.29,-0.77,1.4,0.41,2.41,0.09,5919.53,36.63,76.97,19.6,74.85,12.72,296.46,0.23,-8.060369,-34.90025,2025-07-12T18:51:32.474185
1.83,-2.27,-2.94,-1.71,-2.49,3.0,-2.56,-1.7,1315.67,22.65,77.18,97.94,86.34,10.53,401.18,0.37,-8.059176,-34.900675,2025-07-12T18:51:32.974185
2.9,-1.36,0.29,-2.67,1.23,1.67,-1.42,-0.75,5182.72,6.1,69.55,92.37,93.53,10.6,155.19,0.81,-8.060662,-34.899018,2025-07-12T18:51:33.474185
2.02,2.59,0.09,-0.22,-1.14,2.25,0.39,0.25,1447.88,3.51,84.98,76.82,74.76,11.26,348.71,0.25,-8.059005,-34.900754,2025-07-12T18:51:33.974185
-0.91,-0.38,-1.42,-1.89,-0.76,0.43,-2.57,-2.45,4026.65,46.45,109.31,81.13,74.23,12.04,401.67,0.77,-8.059304,-34.901,2025-07-12T18:51:34.474185
2.12,-0.29,0.56,0.66,-1.63,-2.06,-1.87,1.25,580.06,45.38,66.04,71.66,73.11,11.0,172.65,0.09,-8.060027,-34.900485,2025-07-12T18:51:34.974185
0.28,0.49,-1.31,0.69,-2.64,0.77,-1.22,-1.36,3677.98,40.06,78.19,89.72,77.7,12.88,139.48,0.87,-8.060488,-34.899974,2025-07-12T18:51:35.474185
-0.24,0.4,1.12,-2.68,-2.72,-1.04,-0.19,2.1,2866.02,38.11,76.96,10.0,95.1,12.75,386.34,0.85,-8.060058,-34.89934,2025-07-12T18:51:35.974185
-2.24,2.8,-0.78,1.29,-0.02,2.94,1.31,-0.07,7583.95,36.56,98.32,13.83,98.72,11.43,477.87,0.48,-8.060195,-34.899249,2025-07-12T18:51:36.474185
-1.37,0.22,-2.68,2.62,-1.87,2.04,-1.07,0.56,4453.68,36.48,89.12,73.23,71.27,12.25,164.62,0.35,-8.059815,-34.900586,2025-07-12T18:51:36.974185
0.07,0.03,0.26,1.5,0.58,-2.52,-0.19,-0.45,2379.99,11.18,98.23,10.15,57.61,11.61,287.76,0.64,-8.060611,-34.900368,2025-07-12T18:51:37.474185
-0.37,2.62,1.54,-0.62,-1.31,1.85,-1.13,2.13,6654.24,54.86,82.6,57.89,71.05,11.68,345.95,0.86,-8.059584,-34.900722,2025-07-12T18:51:37.974185
2.06,-0.16,2.94,1.01,-0.94,1.92,-1.43,2.66,6745.23,57.52,95.15,27.02,89.42,11.19,326.46,0.94,-8.06086,-34.900454,2025-07-12T18:51:38.474185
2.68,0.32,2.35,-2.97,-1.06,2.97,-2.61,1.74,2538.24,31.01,108.28,11.13,75.13,11.11,184.5,0.51,-8.059556,-34.899811,2025-07-12T18:51:38.974185
-2.09,-2.45,-0.25,2.82,-1.59,-2.26,-1.94,-0.02,7433.82,46.78,86.39,54.81,67.27,12.96,350.76,0.46,-8.059951,-34.899553,2025-07-12T18:51:39.474185
-1.4,1.74,2.52,0.31,0.95,-0.91,-2.19,1.51,5590.38,42.55,74.75,11.55,92.24,12.8,184.33,0.59,-8.05935,-34.900105,2025-07-12T18:51:39.974185
1.62,2.91,0.72,-2.3,2.42,-2.11,-1.26,0.79,4077.59,28.28,83.9,95.62,87.62,12.07,372.18,0.38,-8.060426,-34.899643,2025-07-12T18:51:40.474185
-0.48,1.78,1.87,-2.52,2.28,-1.44,-2.45,-0.35,1694.08,40.8,106.16,2.32,69.22,10.89,470.7,0.5,-8.059296,-34.900657,2025-07-12T18:51:40.974185
2.65,-1.8,1.89,-2.94,-0.99,0.78,-1.86,-2.0,2364.49,58.16,83.63,4.77,70.27,12.49,479.51,0.09,-8.060508,-34.900387,2025-07-12T18:51:41.474185
1.22,-0.78,-2.77,1.1,-0.68,2.72,-1.3,-0.97,2035.47,38.95,87.3,96.65,53.14,10.81,377.08,0.89,-8.059069,-34.900152,2025-07-12T18:51:41.974185
-0.47,-1.4,2.55,-2.44,2.99,1.74,-2.32,-2.76,733.9,54.75,91.81,44.44,50.96,11.79,111.73,0.0,-8.06045,-34.899271,2025-07-12T18:51:42.474185
-0.84,-1.09,-0.27,1.42,1.94,-1.87,-1.84,-1.23,3901.8,1.95,101.72,45.72,99.5,12.96,343.51,0.37,-8.05979,-34.90063,2025-07-12T18:51:42.974185
-0.48,-2.39,-2.17,1.78,0.6,-0.37,0.26,-2.39,123.24,7.84,98.27,63.61,66.13,10.56,137.79,0.69,-8.059788,-34.899507,2025-07-12T18:51:43.474185
-0.22,-2.22,-0.95,0.53,-1.97,-2.95,-1.98,-2.8,1169.54,44.35,63.92,38.05,92.09,11.57,310.57,0.11,-8.059418,-34.899687,2025-07-12T18:51:43.974185
0.31,-2.4,0.04,2.86,-2.26,-0.22,0.34,2.41,5710.1,3.89,75.46,64.2,70.68,11.29,477.45,0.73,-8.059973,-34.899921,2025-07-12T18:51:44.474185
1.69,-0.83,-2.44,-2.21,1.59,1.12,-2.97,1.94,7033.9,12.72,79.51,84.74,59.51,10.98,403.83,0.62,-8.060784,-34.90092,2025-07-12T18:51:44.974185
-2.79,1.74,-0.36,-0.74,0.17,2.59,1.49,1.32,1578.24,46.42,98.96,79.35,85.25,11.29,285.46,0.73,-8.059309,-34.89932,2025-07-12T18:51:45.474185
1.46,-0.27,-2.84,-2.25,-0.14,-0.31,-2.92,2.38,163.72,56.68,108.63,20.11,71.99,11.09,394.15,0.87,-8.059739,-34.900488,2025-07-12T18:51:45.974185
2.39,2.19,2.9,-0.76,2.32,-0.74,-0.97,-1.25,4323.31,8.94,84.01,36.36,68.61,12.81,278.09,0.52,-8.060656,-34.900615,2025-07-12T18:51:46.474185
-1.46,2.43,-0.31,-2.21,-0.97,-0.67,-0.31,-0.97,7898.69,48.15,109.76,11.28,51.5,12.52,421.72,0.2,-8.060173,-34.90087,2025-07-12T18:51:46.974185
0.45,-2.22,1.62,3.0,2.79,2.71,-0.01,-2.96,2002.4,49.75,82.47,74.62,88.33,10.99,320.69,0.43,-8.060068,-34.899396,2025-07-12T18:51:47.474185
-1.57,1.47,-0.82,-1.44,-1.86,0.42,-1.57,-1.63,6943.4,0.65,76.54,56.57,65.35,11.5,282.54,0.75,-8.059365,-34.899125,2025-07-12T18:51:47.974185
-2.02,2.91,2.72,2.86,-2.36,0.2,1.18,2.17,4138.39,53.55,70.92,92.79,83.31,11.14,421.45,0.14,-8.059802,-34.899823,2025-07-12T18:51:48.474185
-2.12,0.56,-1.33,0.56,-1.91,0.64,-2.01,0.59,1120.46,45.84,74.51,5.08,77.69,11.78,377.64,0.88,-8.059694,-34.900797,2025-07-12T18:51:48.974185
-2.35,-0.98,1.28,0.12,-2.33,-0.16,-2.47,-2.04,5708.6,19.44,103.38,10.39,77.77,12.68,151.57,0.11,-8.060474,-34.900235,2025-07-12T18:51:49.474185
-2.44,-2.85,-2.16,2.13,0.84,-2.5,-2.76,-0.18,3841.4,21.92,78.04,96.1,95.42,12.53,138.88,0.63,-8.060815,-34.9009,2025-07-12T18:51:49.974185
-1.33,0.34,-2.49,-1.35,2.61,1.29,0.91,-2.37,5345.78,28.95,100.06,40.83,76.42,10.94,355.31,0.47,-8.059113,-34.900298,2025-07-12T18:51:50.474185
2.91,2.59,-0.84,-0.84,-1.68,1.44,-2.84,-2.59,1325.2,48.89,82.24,28.77,91.54,11.35,147.04,0.34,-8.060996,-34.899689,2025-07-12T18:51:50.974185
0.36,-1.89,0.37,-1.7,0.54,2.59,-2.61,0.98,123.96,34.62,91.05,79.86,96.47,10.8,492.78,0.5,-8.059337,-34.900394,2025-07-12T18:51:51.474185
0.72,2.85,2.92,2.81,2.37,1.49,1.04,-2.8,3398.26,9.85,67.69,30.15,81.62,11.2,330.6,0.46,-8.060726,-34.899795,2025-07-12T18:51:51.974185
1.74,1.9,0.37,1.29,-0.12,-2.91,0.05,-2.79,7444.54,27.29,97.27,29.81,64.93,11.72,103.36,0.57,-8.059407,-34.900669,2025-07-12T18:51:52.474185
1.92,-1.13,-0.8,1.63,-2.41,1.57,-2.1,0.36,7849.59,49.34,89.1,19.03,85.43,11.38,476.57,0.35,-8.060363,-34.899677,2025-07-12T18:51:52.974185
-1.7,1.33,2.11,1.95,2.05,2.08,-2.5,2.44,3278.98,18.67,109.44,91.25,68.97,12.29,105.26,0.24,-8.059588,-34.899948,2025-07-12T18:51:53.474185
2.65,-2.21,-0.32,0.49,0.93,1.32,-2.7,1.81,7829.17,35.68,90.23,79.05,87.87,11.62,178.3,0.6,-8.060153,-34.900276,2025-07-12T18:51:53.974185
-2.35,-2.91,2.27,-0.11,0.79,-0.94,1.63,-0.08,964.35,9.3,94.07,86.91,77.5,10.91,293.34,0.7,-8.060592,-34.899821,2025-07-12T18:51:54.474185
2.51,-2.43,-2.17,2.37,0.37,-0.29,2.87,-0.02,4179.35,47.01,97.98,15.22,51.72,10.68,334.71,0.19,-8.059627,-34.899104,2025-07-12T18:51:54.974185
-1.92,1.39,2.74,0.24,1.29,2.61,-1.08,0.63,124.45,4.81,71.43,29.97,67.07,11.61,229.82,0.74,-8.05939,-34.900307,2025-07-12T18:51:55.474185
