accx,accy,accz,dpsx,dpsy,dpsz,roll,pitch,rpm,vel,temp_motor,soc,temp_cvt,volt,current,flags,latitude,longitude,timestamp
0.01,0.18,9.57,-0.75,0.63,-0.57,3.29,2.58,5080.95,43.76,63.5,99.7,52.9,12.99,266.8,0,-8.054048,-34.881245,2025-07-21T10:02:15.540302
0.01,-0.02,9.45,-0.28,0.79,-0.9,-0.24,4.61,5238.5,43.76,63.5,99.7,52.9,12.99,250.8,0,-8.054048,-34.881245,2025-07-21T10:02:16.040302
0.01,-0.06,9.77,-0.55,-0.19,-0.16,-2.9,-4.77,5387.34,43.77,63.5,99.7,52.9,12.99,196.3,0,-8.054047,-34.881245,2025-07-21T10:02:16.540302
0.01,-0.19,9.53,0.25,0.0,-0.61,2.02,-2.45,5362.89,43.77,63.5,99.7,52.9,12.99,236.2,0,-8.054047,-34.881245,2025-07-21T10:02:17.040302
0.01,-0.17,9.52,0.78,-0.64,0.87,3.91,-1.03,5071.36,43.77,63.5,99.7,52.9,12.99,223.9,0,-8.054047,-34.881245,2025-07-21T10:02:17.540302
0.01,0.07,9.72,0.17,0.23,-0.53,3.47,0.14,5116.05,43.78,63.5,99.7,52.9,12.99,205.7,0,-8.054047,-34.881245,2025-07-21T10:02:18.040302
0.01,-0.12,9.71,0.26,-0.7,0.36,-3.88,-1.23,5414.21,43.78,63.5,99.7,52.9,12.99,253.2,0,-8.054047,-34.881245,2025-07-21T10:02:18.540302
0.01,-0.11,9.68,-0.24,-0.74,0.41,0.1,-4.21,5209.95,43.78,63.5,99.7,52.9,12.99,191.8,0,-8.054047,-34.881245,2025-07-21T10:02:19.040302
0.01,-0.09,9.65,-0.81,-0.51,0.21,-2.46,1.05,5207.93,43.78,63.5,99.7,52.9,12.99,299.2,0,-8.054047,-34.881245,2025-07-21T10:02:19.540302
0.01,0.19,9.57,-0.03,0.44,0.78,-2.08,-4.05,5412.25,43.79,63.5,99.7,52.9,12.99,227.5,0,-8.054047,-34.881245,2025-07-21T10:02:20.040302
0.01,0.01,9.47,-0.89,0.02,-0.03,3.04,0.07,5209.78,43.79,63.5,99.7,52.9,12.99,288.1,0,-8.054047,-34.881245,2025-07-21T10:02:20.540302
0.01,0.1,9.45,0.88,-0.91,0.12,-1.66,4.64,5251.0,43.79,63.5,99.7,52.9,12.99,200.8,0,-8.054047,-34.881245,2025-07-21T10:02:21.040302
0.01,-0.04,9.72,-0.0,-0.22,0.09,-1.57,-2.58,5385.25,43.79,63.5,99.6,52.9,12.99,229.7,0,-8.054047,-34.881245,2025-07-21T10:02:21.540302
0.01,0.17,9.53,-0.38,-0.69,-0.78,-1.59,-2.85,5276.48,43.8,63.5,99.6,52.9,12.99,256.6,0,-8.054047,-34.881245,2025-07-21T10:02:22.040302
0.01,-0.03,9.77,0.68,0.44,-0.74,-4.65,-4.88,5322.92,43.8,63.5,99.6,52.9,12.99,275.7,0,-8.054046,-34.881245,2025-07-21T10:02:22.540302
0.01,0.07,9.62,0.21,-0.67,-0.44,0.96,-0.4,5248.44,43.8,63.5,99.6,52.9,12.99,228.5,0,-8.054046,-34.881245,2025-07-21T10:02:23.040302
0.0,-0.12,9.54,-0.77,-0.12,-0.0,-4.08,1.32,5082.53,43.8,63.5,99.6,52.9,12.99,209.9,0,-8.054046,-34.881245,2025-07-21T10:02:23.540302
0.01,-0.05,9.78,-0.5,0.27,-0.31,-1.83,1.69,5373.62,43.81,63.5,99.6,52.9,12.99,248.7,0,-8.054046,-34.881245,2025-07-21T10:02:24.040302
0.01,-0.12,9.59,0.79,-0.35,0.53,-0.87,0.11,5106.41,43.81,63.5,99.6,52.9,12.99,214.5,0,-8.054046,-34.881245,2025-07-21T10:02:24.540302
0.01,-0.1,9.51,0.29,0.06,0.22,-2.18,2.0,5084.59,43.81,63.5,99.6,52.9,12.99,183.7,0,-8.054046,-34.881245,2025-07-21T10:02:25.040302
0.0,-0.09,9.65,0.76,-0.88,-0.33,3.77,1.5,5144.29,43.81,63.5,99.6,52.9,12.99,158.1,0,-8.054046,-34.881245,2025-07-21T10:02:25.540302
0.01,-0.09,9.65,0.24,-0.21,0.6,-2.1,2.76,5349.26,43.82,63.5,99.6,52.9,12.99,257.2,0,-8.054046,-34.881245,2025-07-21T10:02:26.040302
0.01,0.07,9.67,-0.62,-0.99,0.15,-4.33,-0.25,5106.86,43.82,63.5,99.6,52.9,12.99,238.8,0,-8.054046,-34.881245,2025-07-21T10:02:26.540302
0.0,-0.09,9.73,0.52,0.53,-0.22,4.11,0.29,5133.1,43.82,63.5,99.6,52.9,12.99,251.1,0,-8.054046,-34.881245,2025-07-21T10:02:27.040302
0.01,-0.01,9.71,-0.28,0.98,-0.56,2.19,4.9,5073.68,43.83,63.5,99.6,52.9,12.99,266.5,0,-8.054046,-34.881245,2025-07-21T10:02:27.540302
0.01,0.16,9.48,0.44,0.38,-0.67,-3.17,1.26,5154.16,43.83,63.5,99.6,52.9,12.99,266.1,0,-8.054045,-34.881245,2025-07-21T10:02:28.040302
0.01,-0.17,9.51,-0.4,0.92,-0.66,2.69,-4.2,5449.38,43.83,63.5,99.6,52.9,12.99,150.1,0,-8.054045,-34.881245,2025-07-21T10:02:28.540302
0.0,-0.09,9.62,-0.71,-0.94,0.85,-4.81,-2.71,5298.01,43.83,63.5,99.6,52.9,12.99,202.0,0,-8.054045,-34.881245,2025-07-21T10:02:29.040302
0.0,-0.1,9.65,0.11,-0.52,0.25,4.23,0.63,5400.1,43.84,63.5,99.6,52.9,12.99,284.1,0,-8.054045,-34.881245,2025-07-21T10:02:29.540302
0.01,-0.18,9.41,0.34,0.9,-0.88,2.42,-1.03,5347.01,43.84,63.5,99.6,52.9,12.99,261.4,0,-8.054045,-34.881245,2025-07-21T10:02:30.040302
0.0,-0.03,9.77,0.21,0.98,0.89,-0.45,1.29,5341.01,43.84,63.5,99.6,52.9,12.99,293.4,0,-8.054045,-34.881245,2025-07-21T10:02:30.540302
0.0,-0.07,9.57,0.2,0.34,-0.52,-1.13,1.77,5273.14,43.84,63.5,99.6,52.9,12.99,254.3,0,-8.054045,-34.881245,2025-07-21T10:02:31.040302
0.01,-0.09,9.54,-0.25,0.59,-0.18,-2.03,-2.83,5249.39,43.85,63.5,99.6,52.9,12.99,180.5,0,-8.054045,-34.881245,2025-07-21T10:02:31.540302
0.01,-0.06,9.66,0.07,0.58,-0.23,-2.78,-1.34,5306.09,43.85,63.5,99.6,52.9,12.99,273.0,0,-8.054045,-34.881245,2025-07-21T10:02:32.040302
0.0,0.03,9.61,0.35,0.55,-0.58,4.64,-3.3,5136.69,43.85,63.5,99.6,52.9,12.99,284.3,0,-8.054045,-34.881244,2025-07-21T10:02:32.540302
0.01,0.1,9.43,0.76,-0.07,0.97,-4.79,-1.2,5317.13,43.85,63.5,99.6,52.9,12.99,203.1,0,-8.054045,-34.881244,2025-07-21T10:02:33.040302
0.01,-0.01,9.54,-0.64,-0.05,0.99,2.57,-0.96,5429.36,43.86,63.5,99.6,52.9,12.99,157.6,0,-8.054044,-34.881244,2025-07-21T10:02:33.540302
0.01,0.08,9.65,-0.42,-0.75,-0.42,-2.3,-2.35,5169.71,43.86,63.5,99.6,52.9,12.99,156.3,0,-8.054044,-34.881244,2025-07-21T10:02:34.040302
0.0,-0.09,9.4,0.59,0.41,0.32,-4.08,-3.45,5201.03,43.86,63.5,99.6,52.9,12.99,182.6,0,-8.054044,-34.881244,2025-07-21T10:02:34.540302
0.0,-0.03,9.45,0.26,0.83,-0.66,-3.17,-2.73,5434.21,43.86,63.5,99.6,52.9,12.99,169.4,0,-8.054044,-34.881244,2025-07-21T10:02:35.040302
0.01,-0.01,9.51,0.31,0.19,0.85,-2.38,3.32,5361.68,43.87,63.5,99.6,52.9,12.99,289.3,0,-8.054044,-34.881244,2025-07-21T10:02:35.540302
0.0,0.06,9.53,-0.65,0.23,-0.52,-4.19,4.81,5388.64,43.87,63.5,99.6,52.9,12.99,201.3,0,-8.054044,-34.881244,2025-07-21T10:02:36.040302
0.0,0.18,9.77,-0.49,-0.67,-0.02,1.21,-4.97,5290.01,43.87,63.5,99.6,53.0,12.99,223.9,0,-8.054044,-34.881244,2025-07-21T10:02:36.540302
0.01,-0.06,9.42,-0.82,-0.28,0.64,3.92,-0.33,5387.81,43.87,63.5,99.6,53.0,12.99,215.6,0,-8.054044,-34.881244,2025-07-21T10:02:37.040302
0.0,0.14,9.7,-0.64,-0.51,0.54,-2.08,-4.53,5339.72,43.88,63.5,99.6,53.0,12.99,290.2,0,-8.054044,-34.881244,2025-07-21T10:02:37.540302
0.0,0.11,9.72,-0.17,-0.15,-0.81,-2.39,3.6,5313.17,43.88,63.5,99.6,53.0,12.99,259.2,0,-8.054044,-34.881244,2025-07-21T10:02:38.040302
0.0,-0.13,9.75,0.17,-0.4,0.53,-4.27,0.79,5137.38,43.88,63.5,99.6,53.0,12.99,292.0,0,-8.054044,-34.881244,2025-07-21T10:02:38.540302
0.0,-0.1,9.53,0.11,-0.85,-0.55,-0.91,-4.58,5371.49,43.88,63.5,99.6,53.0,12.99,263.9,0,-8.054044,-34.881244,2025-07-21T10:02:39.040302
0.0,-0.13,9.77,-0.67,0.71,-0.22,4.92,-0.59,5070.13,43.89,63.5,99.6,53.0,12.99,173.6,0,-8.054043,-34.881244,2025-07-21T10:02:39.540302
0.0,-0.1,9.59,-0.4,0.94,-0.27,2.69,1.65,5072.19,43.89,63.5,99.6,53.0,12.99,204.2,0,-8.054043,-34.881244,2025-07-21T10:02:40.040302
0.0,-0.08,9.43,-0.33,-0.12,-0.95,-0.15,-1.14,5269.08,43.89,63.6,99.6,53.0,12.99,158.7,0,-8.054043,-34.881244,2025-07-21T10:02:40.540302
0.0,0.09,9.78,-0.71,0.78,0.57,-2.99,1.33,5257.32,43.89,63.6,99.6,53.0,12.99,292.3,0,-8.054043,-34.881244,2025-07-21T10:02:41.040302
0.0,0.05,9.56,0.01,0.29,-0.78,0.67,4.2,5271.08,43.89,63.6,99.6,53.0,12.99,160.2,0,-8.054043,-34.881244,2025-07-21T10:02:41.540302
0.0,-0.07,9.42,0.61,-0.12,-0.98,-1.54,4.85,5113.47,43.9,63.6,99.6,53.0,12.99,258.1,0,-8.054043,-34.881244,2025-07-21T10:02:42.040302
0.0,0.12,9.52,-0.38,-0.89,0.29,-3.1,-1.94,5295.25,43.9,63.6,99.6,53.0,12.99,151.8,0,-8.054043,-34.881244,2025-07-21T10:02:42.540302
0.0,-0.11,9.53,0.09,0.81,-0.31,-3.97,1.76,5327.23,43.9,63.6,99.6,53.0,12.99,201.1,0,-8.054043,-34.881244,2025-07-21T10:02:43.040302
0.0,0.11,9.66,0.4,0.05,0.22,3.26,-4.24,5271.48,43.9,63.6,99.6,53.0,12.99,293.2,0,-8.054043,-34.881244,2025-07-21T10:02:43.540302
0.0,0.17,9.47,0.06,-0.98,0.52,1.69,-0.92,5216.28,43.91,63.6,99.6,53.0,12.99,233.1,0,-8.054043,-34.881244,2025-07-21T10:02:44.040302
0.0,-0.08,9.73,0.59,-0.89,1.0,-1.91,-3.36,5383.75,43.91,63.6,99.6,53.0,12.99,219.0,0,-8.054043,-34.881244,2025-07-21T10:02:44.540302
0.0,0.0,9.6,-0.23,-0.03,0.22,-2.27,2.57,5290.52,43.91,63.6,99.6,53.0,12.99,234.0,0,-8.054043,-34.881244,2025-07-21T10:02:45.040302
0.0,-0.17,9.74,-0.35,0.42,-0.51,4.26,0.6,5100.49,43.91,63.6,99.6,53.0,12.99,158.3,0,-8.054042,-34.881244,2025-07-21T10:02:45.540302
0.0,-0.13,9.5,0.92,-0.85,0.75,-3.74,-4.13,5314.13,43.92,63.6,99.6,53.0,12.99,206.5,0,-8.054042,-34.881244,2025-07-21T10:02:46.040302
0.0,0.19,9.51,-0.79,0.06,-0.11,-1.04,3.61,5103.42,43.92,63.6,99.6,53.0,12.99,245.5,0,-8.054042,-34.881244,2025-07-21T10:02:46.540302
0.0,-0.19,9.8,0.05,0.79,-0.02,1.66,4.3,5155.52,43.92,63.6,99.6,53.0,12.99,292.2,0,-8.054042,-34.881244,2025-07-21T10:02:47.040302
0.0,0.13,9.49,-0.73,-0.65,0.05,-2.26,4.47,5193.47,43.92,63.6,99.6,53.0,12.99,258.9,0,-8.054042,-34.881244,2025-07-21T10:02:47.540302
0.0,-0.07,9.4,0.63,0.48,0.99,-1.03,0.75,5121.6,43.93,63.6,99.6,53.0,12.99,156.8,0,-8.054042,-34.881244,2025-07-21T10:02:48.040302
0.01,-0.19,9.4,0.09,0.06,-0.66,3.48,-3.7,5191.02,43.93,63.6,99.6,53.0,12.99,244.1,0,-8.054042,-34.881244,2025-07-21T10:02:48.540302
0.0,-0.18,9.49,0.94,-0.98,-0.1,-0.82,4.85,5310.82,43.93,63.6,99.6,53.0,12.99,285.4,0,-8.054042,-34.881244,2025-07-21T10:02:49.040302
0.0,-0.1,9.48,0.88,-0.25,-0.76,4.04,4.01,5141.09,43.93,63.6,99.6,53.0,12.99,181.8,0,-8.054042,-34.881244,2025-07-21T10:02:49.540302
0.0,-0.1,9.6,-0.78,-0.03,-0.74,0.05,2.96,5131.37,43.93,63.6,99.6,53.0,12.99,284.1,0,-8.054042,-34.881244,2025-07-21T10:02:50.040302
0.0,0.19,9.49,0.94,0.51,0.4,4.84,0.87,5285.18,43.94,63.6,99.6,53.0,12.99,288.2,0,-8.054042,-34.881244,2025-07-21T10:02:50.540302
0.0,0.09,9.68,0.49,0.71,-0.02,-0.94,2.66,5407.94,43.94,63.6,99.6,53.0,12.99,170.4,0,-8.054041,-34.881244,2025-07-21T10:02:51.040302
0.0,-0.03,9.56,0.22,0.11,0.95,3.8,4.49,5244.12,43.94,63.6,99.6,53.0,12.99,219.7,0,-8.054041,-34.881244,2025-07-21T10:02:51.540302
0.0,-0.06,9.79,0.68,0.33,0.29,-1.17,0.86,5193.75,43.94,63.6,99.6,53.0,12.99,296.5,0,-8.054041,-34.881244,2025-07-21T10:02:52.040302
0.0,-0.14,9.42,-0.11,0.1,-0.84,1.89,3.36,5155.56,43.95,63.6,99.6,53.0,12.99,182.1,0,-8.054041,-34.881244,2025-07-21T10:02:52.540302
0.0,-0.06,9.54,0.59,-0.05,0.34,2.51,-2.67,5197.29,43.95,63.6,99.6,53.0,12.99,160.8,0,-8.054041,-34.881244,2025-07-21T10:02:53.040302
0.0,0.16,9.44,-0.89,-0.09,-0.07,0.56,4.85,5449.69,43.95,63.6,99.6,53.0,12.99,198.6,0,-8.054041,-34.881244,2025-07-21T10:02:53.540302
0.0,0.13,9.71,0.54,0.85,0.31,2.55,3.71,5145.6,43.95,63.6,99.6,53.0,12.99,218.8,0,-8.054041,-34.881244,2025-07-21T10:02:54.040302
0.0,-0.08,9.73,-0.55,0.62,0.95,3.16,0.53,5268.58,43.96,63.6,99.6,53.0,12.99,280.6,0,-8.054041,-34.881244,2025-07-21T10:02:54.540302
0.0,-0.12,9.54,0.63,-0.79,0.23,2.38,-3.35,5269.16,43.96,63.6,99.6,53.0,12.99,152.6,0,-8.054041,-34.881244,2025-07-21T10:02:55.040302
0.0,-0.12,9.77,0.25,0.99,-0.13,-4.18,3.32,5295.89,43.96,63.6,99.6,53.0,12.99,283.0,0,-8.054041,-34.881244,2025-07-21T10:02:55.540302
0.01,-0.03,9.46,-0.37,0.59,-0.87,-3.42,-0.79,5391.62,43.96,63.6,99.6,53.0,12.99,172.2,0,-8.054041,-34.881244,2025-07-21T10:02:56.040302
0.0,-0.04,9.51,0.85,-0.25,0.48,-1.04,-4.12,5204.92,43.97,63.6,99.6,53.0,12.99,280.7,0,-8.054041,-34.881244,2025-07-21T10:02:56.540302
0.0,-0.1,9.67,0.0,0.48,0.86,-3.5,3.09,5265.02,43.97,63.6,99.6,53.0,12.99,228.3,0,-8.05404,-34.881244,2025-07-21T10:02:57.040302
0.0,-0.03,9.57,0.62,-0.34,0.12,4.89,0.58,5313.91,43.97,63.6,99.6,53.0,12.99,229.3,0,-8.05404,-34.881244,2025-07-21T10:02:57.540302
0.0,-0.05,9.74,-0.63,-0.06,-0.24,-4.97,-4.47,5461.47,43.97,63.6,99.6,53.0,12.99,278.9,0,-8.05404,-34.881244,2025-07-21T10:02:58.040302
0.0,0.19,9.44,0.25,0.37,-0.39,-3.03,-2.46,5373.42,43.97,63.6,99.6,53.0,12.99,269.5,0,-8.05404,-34.881244,2025-07-21T10:02:58.540302
0.0,-0.06,9.56,0.53,0.37,-0.07,0.99,-0.49,5436.54,43.98,63.6,99.6,53.0,12.99,289.2,0,-8.05404,-34.881244,2025-07-21T10:02:59.040302
0.01,-0.16,9.66,0.85,-0.2,0.45,-2.9,3.97,5306.28,43.98,63.6,99.6,53.0,12.99,289.7,0,-8.05404,-34.881244,2025-07-21T10:02:59.540302
0.0,0.1,9.72,-0.38,-0.27,-0.47,4.83,-0.76,5348.44,43.98,63.6,99.6,53.0,12.99,201.2,0,-8.05404,-34.881244,2025-07-21T10:03:00.040302
0.0,0.04,9.59,-0.51,0.69,-0.32,-3.33,-3.59,5464.34,43.98,63.6,99.6,53.0,12.99,186.6,0,-8.05404,-34.881244,2025-07-21T10:03:00.540302
0.0,-0.12,9.41,0.17,0.67,0.68,1.35,-1.12,5188.36,43.99,63.6,99.6,53.0,12.99,175.3,0,-8.05404,-34.881243,2025-07-21T10:03:01.040302
0.0,0.19,9.6,-0.53,-0.85,-0.23,3.0,0.14,5161.52,43.99,63.6,99.6,53.0,12.99,238.8,0,-8.05404,-34.881243,2025-07-21T10:03:01.540302
0.0,-0.02,9.8,0.28,-0.15,0.18,-0.64,-4.4,5087.27,43.99,63.6,99.6,53.0,12.99,296.2,0,-8.05404,-34.881243,2025-07-21T10:03:02.040302
0.0,0.04,9.51,0.05,-0.84,0.28,0.84,1.56,5275.37,43.99,63.6,99.6,53.0,12.99,221.7,0,-8.05404,-34.881243,2025-07-21T10:03:02.540302
0.0,0.09,9.8,0.54,-0.58,0.52,0.07,-4.53,5336.92,44.0,63.6,99.6,53.0,12.99,167.4,0,-8.054039,-34.881243,2025-07-21T10:03:03.040302
0.0,0.04,9.53,0.89,0.46,-0.08,1.32,-0.53,5102.22,44.0,63.6,99.6,53.0,12.99,294.1,0,-8.054039,-34.881243,2025-07-21T10:03:03.540302
0.0,0.17,9.45,-0.49,0.22,-0.84,-3.81,0.93,5185.69,44.0,63.6,99.6,53.0,12.99,293.8,0,-8.054039,-34.881243,2025-07-21T10:03:04.040302
0.0,0.19,9.79,-0.21,0.41,-0.82,2.5,1.68,5246.58,44.0,63.6,99.6,53.0,12.99,223.3,0,-8.054039,-34.881243,2025-07-21T10:03:04.540302
0.0,0.05,9.71,-0.09,-0.49,-0.22,1.25,-2.73,5416.95,44.01,63.6,99.6,53.0,12.99,269.1,0,-8.054039,-34.881243,2025-07-21T10:03:05.040302
0.0,-0.01,9.63,0.32,0.41,0.76,1.1,0.04,5431.68,44.01,63.6,99.6,53.0,12.99,162.1,0,-8.054039,-34.881243,2025-07-21T10:03:05.540302
